curve_id,curve_label,product_type,bucket_field,risk_bucket,scenario,month,marginal_pd,cumulative_pd,curve_version,source_type
LPD_MORTGAGE_FICO_V2,Mortgage lifetime PD by FICO,Mortgage,fico_band,Prime,Baseline,1,0.000505073635980624,0.000505073635980624,V2,SYNTHETIC_DEMO
LPD_MORTGAGE_FICO_V2,Mortgage lifetime PD by FICO,Mortgage,fico_band,Prime,Baseline,2,0.0005083595030025383,0.0010134331389831663,V2,SYNTHETIC_DEMO
LPD_MORTGAGE_FICO_V2,Mortgage lifetime PD by FICO,Mortgage,fico_band,Prime,Baseline,3,0.0005114958028360481,0.0015249289418192147,V2,SYNTHETIC_DEMO
LPD_MORTGAGE_FICO_V2,Mortgage lifetime PD by FICO,Mortgage,fico_band,Prime,Baseline,4,0.0005144886751713455,0.0020394176169905576,V2,SYNTHETIC_DEMO
LPD_MORTGAGE_FICO_V2,Mortgage lifetime PD by FICO,Mortgage,fico_band,Prime,Baseline,5,0.000517344010268116,0.002556761627258708,V2,SYNTHETIC_DEMO
LPD_MORTGAGE_FICO_V2,Mortgage lifetime PD by FICO,Mortgage,fico_band,Prime,Baseline,6,0.0005200674589055567,0.0030768290861642456,V2,SYNTHETIC_DEMO
LPD_MORTGAGE_FICO_V2,Mortgage lifetime PD by FICO,Mortgage,fico_band,Prime,Baseline,7,0.0005226644419506895,0.00359949352811495,V2,SYNTHETIC_DEMO
LPD_MORTGAGE_FICO_V2,Mortgage lifetime PD by FICO,Mortgage,fico_band,Prime,Baseline,8,0.0005251401595587702,0.0041246336876736844,V2,SYNTHETIC_DEMO
LPD_MORTGAGE_FICO_V2,Mortgage lifetime PD by FICO,Mortgage,fico_band,Prime,Baseline,9,0.0005274996000165026,0.004652133287690208,V2,SYNTHETIC_DEMO
LPD_MORTGAGE_FICO_V2,Mortgage lifetime PD by FICO,Mortgage,fico_band,Prime,Baseline,10,0.0005297475482441802,0.005181880835934405,V2,SYNTHETIC_DEMO
LPD_MORTGAGE_FICO_V2,Mortgage lifetime PD by FICO,Mortgage,fico_band,Prime,Baseline,11,0.0005318885939658681,0.005713769429900317,V2,SYNTHETIC_DEMO
LPD_MORTGAGE_FICO_V2,Mortgage lifetime PD by FICO,Mortgage,fico_band,Prime,Baseline,12,0.0005339271395618912,0.006247696569462224,V2,SYNTHETIC_DEMO
LPD_MORTGAGE_FICO_V2,Mortgage lifetime PD by FICO,Mortgage,fico_band,Prime,Baseline,13,0.0005358674076140651,0.006783563977076246,V2,SYNTHETIC_DEMO
LPD_MORTGAGE_FICO_V2,Mortgage lifetime PD by FICO,Mortgage,fico_band,Prime,Baseline,14,0.0005377134481552396,0.007321277425231476,V2,SYNTHETIC_DEMO
LPD_MORTGAGE_FICO_V2,Mortgage lifetime PD by FICO,Mortgage,fico_band,Prime,Baseline,15,0.000539469145634409,0.007860746570865884,V2,SYNTHETIC_DEMO
LPD_MORTGAGE_FICO_V2,Mortgage lifetime PD by FICO,Mortgage,fico_band,Prime,Baseline,16,0.0005411382256072099,0.00840188479647308,V2,SYNTHETIC_DEMO
LPD_MORTGAGE_FICO_V2,Mortgage lifetime PD by FICO,Mortgage,fico_band,Prime,Baseline,17,0.0005427242611630499,0.008944609057636166,V2,SYNTHETIC_DEMO
LPD_MORTGAGE_FICO_V2,Mortgage lifetime PD by FICO,Mortgage,fico_band,Prime,Baseline,18,0.0005442306790971182,0.009488839736733312,V2,SYNTHETIC_DEMO
LPD_MORTGAGE_FICO_V2,Mortgage lifetime PD by FICO,Mortgage,fico_band,Prime,Baseline,19,0.0005456607658392424,0.010034500502572596,V2,SYNTHETIC_DEMO
LPD_MORTGAGE_FICO_V2,Mortgage lifetime PD by FICO,Mortgage,fico_band,Prime,Baseline,20,0.0005470176731463405,0.010581518175718951,V2,SYNTHETIC_DEMO
LPD_MORTGAGE_FICO_V2,Mortgage lifetime PD by FICO,Mortgage,fico_band,Prime,Baseline,21,0.0005483044235695798,0.01112982259928852,V2,SYNTHETIC_DEMO
