curve_id,curve_label,product_type,bucket_field,bucket_value,scenario,month,annual_cpr,monthly_smm,cumulative_survival,curve_version,source_type
PP_MORTGAGE_FICO_V2,Mortgage prepayment by FICO,Mortgage,fico_band,Prime,Baseline,1,0.006161978115455747,0.0005149541534799074,0.9994850458465201,V2,SYNTHETIC_DEMO
PP_MORTGAGE_FICO_V2,Mortgage prepayment by FICO,Mortgage,fico_band,Prime,Baseline,2,0.012424984162180843,0.0010413590495024216,0.9984442230491855,V2,SYNTHETIC_DEMO
PP_MORTGAGE_FICO_V2,Mortgage prepayment by FICO,Mortgage,fico_band,Prime,Baseline,3,0.018786907258633297,0.0015792203077078515,0.9968674596560326,V2,SYNTHETIC_DEMO
PP_MORTGAGE_FICO_V2,Mortgage prepayment by FICO,Mortgage,fico_band,Prime,Baseline,4,0.025244253703279484,0.00212842801018831,0.9947456990324555,V2,SYNTHETIC_DEMO
PP_MORTGAGE_FICO_V2,Mortgage prepayment by FICO,Mortgage,fico_band,Prime,Baseline,5,0.031792183388658996,0.0026887561498377677,0.9920710704166573,V2,SYNTHETIC_DEMO
PP_MORTGAGE_FICO_V2,Mortgage prepayment by FICO,Mortgage,fico_band,Prime,Baseline,6,0.038424560308215415,0.0032598631218112573,0.9888370545199903,V2,SYNTHETIC_DEMO
PP_MORTGAGE_FICO_V2,Mortgage prepayment by FICO,Mortgage,fico_band,Prime,Baseline,7,0.04513401668796093,0.0038412932815220513,0.9850386413859425,V2,SYNTHETIC_DEMO
PP_MORTGAGE_FICO_V2,Mortgage prepayment by FICO,Mortgage,fico_band,Prime,Baseline,8,0.051912030148340935,0.004432479589887239,0.9806724777127491,V2,SYNTHETIC_DEMO
PP_MORTGAGE_FICO_V2,Mortgage prepayment by FICO,Mortgage,fico_band,Prime,Baseline,9,0.05874901318012834,0.005032747363097667,0.9757370008864779,V2,SYNTHETIC_DEMO
PP_MORTGAGE_FICO_V2,Mortgage prepayment by FICO,Mortgage,fico_band,Prime,Baseline,10,0.06563441410286468,0.00564131913980459,0.9702325570679614,V2,SYNTHETIC_DEMO
PP_MORTGAGE_FICO_V2,Mortgage prepayment by FICO,Mortgage,fico_band,Prime,Baseline,11,0.07255682856628456,0.006257320673058286,0.9641615008309459,V2,SYNTHETIC_DEMO
PP_MORTGAGE_FICO_V2,Mortgage prepayment by FICO,Mortgage,fico_band,Prime,Baseline,12,0.07950412055525792,0.006879788047401414,0.9575282740617646,V2,SYNTHETIC_DEMO
PP_MORTGAGE_FICO_V2,Mortgage prepayment by FICO,Mortgage,fico_band,Prime,Baseline,13,0.08646355176794021,0.00750767591305046,0.9503394621025263,V2,SYNTHETIC_DEMO
PP_MORTGAGE_FICO_V2,Mortgage prepayment by FICO,Mortgage,fico_band,Prime,Baseline,14,0.09342191815583768,0.008139866818977382,0.9426038254481931,V2,SYNTHETIC_DEMO
PP_MORTGAGE_FICO_V2,Mortgage prepayment by FICO,Mortgage,fico_band,Prime,Baseline,15,0.10036569234409289,0.008775181614861571,0.9343323056890219,V2,SYNTHETIC_DEMO
