matrix_id,matrix_label,product_type,state_field,scenario,from_state,to_state,annual_probability,matrix_version,source_type
TM_AUTO_FICO_V2,Auto transition by FICO band,Auto Loan,fico_band,Baseline,Prime,Prime,0.9,V2,SYNTHETIC_DEMO
TM_AUTO_FICO_V2,Auto transition by FICO band,Auto Loan,fico_band,Baseline,Prime,Near Prime,0.075,V2,SYNTHETIC_DEMO
TM_AUTO_FICO_V2,Auto transition by FICO band,Auto Loan,fico_band,Baseline,Prime,Subprime,0.018,V2,SYNTHETIC_DEMO
TM_AUTO_FICO_V2,Auto transition by FICO band,Auto Loan,fico_band,Baseline,Prime,Default,0.007,V2,SYNTHETIC_DEMO
TM_AUTO_FICO_V2,Auto transition by FICO band,Auto Loan,fico_band,Baseline,Near Prime,Prime,0.15,V2,SYNTHETIC_DEMO
TM_AUTO_FICO_V2,Auto transition by FICO band,Auto Loan,fico_band,Baseline,Near Prime,Near Prime,0.72,V2,SYNTHETIC_DEMO
TM_AUTO_FICO_V2,Auto transition by FICO band,Auto Loan,fico_band,Baseline,Near Prime,Subprime,0.095,V2,SYNTHETIC_DEMO
TM_AUTO_FICO_V2,Auto transition by FICO band,Auto Loan,fico_band,Baseline,Near Prime,Default,0.035,V2,SYNTHETIC_DEMO
TM_AUTO_FICO_V2,Auto transition by FICO band,Auto Loan,fico_band,Baseline,Subprime,Prime,0.04,V2,SYNTHETIC_DEMO
TM_AUTO_FICO_V2,Auto transition by FICO band,Auto Loan,fico_band,Baseline,Subprime,Near Prime,0.12,V2,SYNTHETIC_DEMO
TM_AUTO_FICO_V2,Auto transition by FICO band,Auto Loan,fico_band,Baseline,Subprime,Subprime,0.7,V2,SYNTHETIC_DEMO
TM_AUTO_FICO_V2,Auto transition by FICO band,Auto Loan,fico_band,Baseline,Subprime,Default,0.14,V2,SYNTHETIC_DEMO
TM_AUTO_FICO_V2,Auto transition by FICO band,Auto Loan,fico_band,Baseline,Default,Prime,0.0,V2,SYNTHETIC_DEMO
TM_AUTO_FICO_V2,Auto transition by FICO band,Auto Loan,fico_band,Baseline,Default,Near Prime,0.0,V2,SYNTHETIC_DEMO
TM_AUTO_FICO_V2,Auto transition by FICO band,Auto Loan,fico_band,Baseline,Default,Subprime,0.0,V2,SYNTHETIC_DEMO
TM_AUTO_FICO_V2,Auto transition by FICO band,Auto Loan,fico_band,Baseline,Default,Default,1.0,V2,SYNTHETIC_DEMO
TM_AUTO_FICO_V2,Auto transition by FICO band,Auto Loan,fico_band,Downside,Prime,Prime,0.89825,V2,SYNTHETIC_DEMO
TM_AUTO_FICO_V2,Auto transition by FICO band,Auto Loan,fico_band,Downside,Prime,Near Prime,0.075,V2,SYNTHETIC_DEMO
